text_len,title_len
444,16
881,14
1578,17
53,6
316,45
1523,19
4053,3
1679,16
140,8
8,11
1423,10
988,11
172,10
17,25
1871,20
1664,14
2679,14
3904,21
211,5
163,3
7575,34
185,7
1424,11
41,13
1560,10
653,17
1735,27
769,11
548,6
766,28
2234,7
425,13
674,12
887,6
369,17
3871,24
526,11
1454,13
861,16
550,12
2571,15
509,11
115,3
313,15
1389,12
599,12
299,8
559,12
262,22
1166,14
233,16
254,4
242,2
214,3
357,3
1531,6
2219,18
95,25
986,13
1820,6
127,2
2809,7
3882,11
618,13
498,19
1676,16
1732,5
1234,24
490,10
1082,10
1170,8
2510,20
1971,19
972,10
1822,10
1998,11
2423,10
892,9
360,12
356,7
195,27
4900,22
548,14
5532,15
668,18
36,11
599,11
372,4
4158,17
1090,8
415,23
729,21
1969,15
467,7
826,5
1622,19
380,10
24,6
4240,23
1826,17
231,4
4980,22
1484,12
1331,14
1050,18
1033,18
281,16
1168,14
1922,10
1288,7
378,19
2894,12
937,13
856,11
746,10
1058,10
407,11
968,30
952,18
676,5
1378,12
413,6
1952,9
2780,11
1710,16
833,14
2528,8
1831,11
1812,27
1559,20
974,20
1085,17
2723,8
217,12
1132,12
812,18
1289,21
313,6
819,12
95,15
359,19
759,12
1121,16
166,4
415,13
4455,21
58,11
1182,16
1696,31
630,22
1784,15
944,19
3033,10
503,12
1867,21
357,4
3068,26
1237,4
2489,17
991,12
1190,28
846,23
1750,28
1115,14
950,23
749,21
1664,20
95,3
1519,10
296,11
213,14
81,9
5877,7
2967,8
1665,8
478,21
656,8
678,7
95,23
859,8
3176,29
691,14
31,24
391,6
115,11
907,9
14,24
1368,20
912,20
569,17
784,7
777,11
1948,20
871,5
1110,16
2277,5
320,15
1067,16
820,31
1884,15
938,20
38,20
369,12
1571,11
2154,19
2243,12
519,11
3713,6
979,17
1552,11
3657,9
1283,11
1302,10
572,19
430,14
2382,16
444,13
1177,16
743,13
7,23
57,11
133,19
485,4
453,3
1357,8
1315,26
1249,16
947,22
1116,12
1059,22
1094,8
2495,16
1032,13
1583,20
33,7
257,4
1164,17
495,5
94,13
147,8
2163,18
366,18
1566,9
24,6
1367,12
1874,18
416,23
947,19
584,9
1822,13
1136,14
1006,33
1874,14
194,48
1226,6
55,17
1949,6
774,9
590,19
509,16
1416,9
765,13
1079,5
449,12
1252,9
165,4
390,3
561,5
1725,6
128,10
785,20
403,11
458,23
746,17
1496,18
231,4
1952,11
1838,16
1292,12
1562,12
1729,4
433,12
1078,16
2112,9
401,11
1480,14
47,3
216,12
821,10
2431,10
766,26
1093,12
39,2
1260,12
2339,8
2292,11
5466,13
111,14
801,20
913,10
586,8
184,5
503,9
928,17
1375,23
1078,13
637,51
1608,6
3062,7
234,7
70,6
602,20
1609,7
2209,16
1121,8
615,4
951,24
2042,16
534,11
105,1
1038,14
1301,10
3092,28
191,10
1863,20
6329,21
1092,34
911,13
972,20
327,4
288,23
519,27
1936,12
836,10
451,18
612,17
628,34
672,19
605,18
634,23
788,9
339,18
1531,12
484,17
883,18
600,10
2097,16
1071,11
853,15
1172,14
675,3
1309,14
3247,15
1838,12
708,22
1068,12
1051,13
1285,25
509,21
1060,9
2376,5
576,28
1378,10
630,12
518,13
1124,5
1146,7
372,16
789,10
146,12
1072,8
4843,12
3874,24
2847,19
484,11
23,8
460,14
763,15
174,13
3674,22
125,9
554,10
53,16
907,8
698,22
671,4
151,4
1179,24
1155,15
1517,10
1468,14
3015,16
247,24
6013,24
3489,8
828,7
3447,11
1304,7
20,2
428,5
359,19
955,16
95,5
1408,4
1593,5
1169,21
355,11
536,20
526,12
3342,8
1070,26
1427,13
1538,15
1302,12
115,4
3616,7
4988,11
1384,7
998,12
803,5
1064,11
2154,6
1260,14
2208,10
633,15
1071,15
731,23
1803,7
992,15
1495,31
1061,25
1377,5
880,20
39,2
2030,13
2029,18
1144,10
251,3
1173,24
3290,16
1293,8
270,15
1261,10
542,49
205,15
1692,7
475,4
846,16
1792,9
1094,6
2227,10
884,15
1010,6
1068,10
1174,21
952,18
285,5
626,12
2143,19
391,16
1694,7
390,6
15,7
1128,18
1002,9
95,3
2042,13
376,5
975,9
1720,22
800,20
882,6
1216,9
8,13
4757,9
999,28
2159,19
2339,16
861,30
1112,13
5255,32
979,27
1380,18
1415,4
1818,14
3122,13
2081,10
1040,7
2276,17
750,15
3878,15
512,8
237,15
1490,14
1544,23
2998,11
1894,17
486,27
624,13
246,5
835,15
97,4
727,5
1926,20
95,13
216,14
32,15
1535,8
2061,14
1096,9
1905,15
411,10
507,13
805,5
1556,16
928,11
1073,29
991,27
641,6
379,4
1806,15
1932,15
694,19
1758,9
1766,7
3010,15
463,16
749,12
779,14
3270,10
1310,6
1625,9
167,11
318,15
8,47
1082,13
2399,14
592,10
2934,8
133,16
332,8
1143,11
2059,13
1044,11
2736,16
931,12
246,12
1535,14
1274,12
1312,6
147,10
58,8
1244,14
926,8
524,8
1222,13
1433,12
870,16
262,13
780,9
651,11
1612,10
974,6
986,6
1184,24
1736,16
1130,12
2372,8
281,5
690,11
668,8
2709,11
1248,17
957,16
575,17
251,7
790,9
1859,20
3581,16
1454,16
343,4
449,10
1084,5
787,21
3135,15
1573,7
622,12
242,6
1069,11
494,11
1162,17
84,7
2258,7
895,16
2127,16
268,11
1991,6
553,19
683,13
1037,11
1153,11
1617,18
651,16
34,8
1836,6
857,5
550,3
1567,12
1296,21
1192,16
1842,3
868,17
739,14
220,4
416,3
592,10
6468,26
996,6
392,2
1365,13
746,4
3908,27
331,10
1860,10
49,9
1797,13
1263,13
1858,10
1166,6
1551,14
1221,16
24,15
2998,11
2049,14
1494,17
2485,12
21,4
1662,13
1396,22
1088,13
356,17
729,11
691,24
1593,13
20,6
878,10
26,18
4475,11
665,6
1490,12
745,6
5268,22
628,17
3395,10
3478,17
791,8
396,16
784,7
690,12
609,16
2044,10
985,43
268,23
1866,11
1082,10
268,13
2110,8
1371,2
871,10
40,42
2261,7
996,10
299,6
372,19
209,15
1278,9
2345,16
1291,12
385,17
541,10
95,23
1946,9
219,21
1701,22
506,8
3469,28
228,21
1582,4
628,11
337,18
1316,23
263,11
745,14
672,20
740,11
1599,10
900,21
597,9
424,11
2269,8
528,22
480,13
2024,8
289,15
573,8
379,11
2258,17
1676,9
639,15
1434,23
502,13
822,11
1852,9
524,8
1158,10
603,24
668,10
623,13
925,12
3355,9
733,15
899,10
271,18
471,6
1220,10
1040,35
401,10
1486,16
95,15
292,12
559,8
2700,9
1356,15
1077,8
1862,18
95,4
1412,11
35,21
548,9
571,6
46,5
2887,9
1088,20
1680,11
1545,16
182,13
360,11
1084,13
743,11
1144,13
192,11
159,15
548,4
1248,9
959,10
473,18
569,5
732,8
740,14
337,13
2210,10
289,14
39,6
610,3
1059,12
273,6
2084,20
957,11
1215,9
1501,17
820,27
294,6
1470,16
1867,8
1883,16
425,8
1867,11
933,21
640,17
1380,14
277,5
252,18
841,9
2261,14
1564,7
640,10
3113,11
645,3
1418,45
1286,11
624,24
1707,15
536,3
1571,16
3376,16
853,15
819,19
4440,19
2180,14
839,22
1154,19
7,6
359,15
3217,15
332,7
211,6
1281,13
1724,9
1939,12
1559,7
496,9
1445,14
994,14
533,7
2773,33
1364,11
3349,24
715,10
982,35
1782,8
78,5
1223,14
455,16
961,19
1062,8
75,5
1554,12
545,7
1834,10
975,15
357,4
3398,21
1100,24
4702,7
353,8
1504,11
1589,17
607,14
1801,21
1616,22
610,7
834,15
1257,18
614,9
933,8
8,15
411,2
1186,18
1432,25
700,5
393,23
578,9
1617,15
420,7
1817,16
2583,22
1569,10
2360,17
229,2
3093,11
2034,3
79,11
1103,13
1665,5
2731,17
1782,18
389,7
95,13
1892,11
1566,9
95,20
34,11
296,14
2435,10
503,5
338,17
1497,10
1730,11
1283,21
1209,24
2972,19
730,17
61,24
2103,6
638,18
924,9
2457,10
2151,14
1766,14
948,11
4646,17
1876,17
1576,32
2450,5
564,8
2522,18
1616,17
686,16
1650,12
829,7
920,17
95,56
1128,23
134,9
1831,5
1939,13
354,11
961,10
1767,11
362,15
172,3
2749,4
181,4
143,30
1539,19
940,13
1006,17
218,7
1222,21
1628,22
344,2
1220,29
3623,15
1423,14
1048,16
1319,15
1681,12
2043,7
1909,12
1370,13
1722,9
1217,16
1511,14
798,8
3387,11
2009,10
2621,9
920,14
499,9
4748,20
1026,9
237,6
1698,16
391,25
867,6
118,6
521,6
706,5
829,13
2200,27
586,18
409,21
4048,14
594,10
771,5
3111,14
3399,9
1448,18
1027,9
885,13
1212,8
611,5
1588,15
2011,8
996,6
2621,7
1845,5
278,20
7696,17
655,20
1733,5
407,6
314,8
95,2
